Shape,AMI (FLOPS/Byte),P100 - FLOPS,V100 - FLOPS,A100 - FLOPS,P100 - % of Peak,V100 - % of Peak,A100 - % of Peak,V100 / P100,A100 / V100,Util Decreases?,V-P,V-A,P100 R^2,V100 R^2,A100 R^2
Matmul(M=1 N=1 K=1536 layout='NT'),0.50,2.60E+08,1.51E+08,2.41E+08,0.00%,0.00%,0.00%,0.58,1.59,TRUE,0.00%,0.00%,0.607,0.596,0.585
Matmul(M=64 N=1 K=1536 layout='NT'),0.98,1.94E+10,9.98E+09,1.50E+10,0.09%,0.01%,0.00%,0.51,1.50,TRUE,0.08%,0.00%,0.607,0.596,0.585
Matmul(M=1 N=80 K=1536 layout='NT'),0.99,2.47E+10,1.24E+10,1.89E+10,0.12%,0.01%,0.01%,0.50,1.52,TRUE,0.11%,0.00%,0.607,0.595,0.584
Matmul(M=106 N=1 K=128 layout='NT'),0.99,2.69E+09,1.67E+09,2.08E+09,0.01%,0.00%,0.00%,0.62,1.24,TRUE,0.01%,0.00%,0.607,0.595,0.584
Matmul(M=1 N=128 K=1024 layout='NT'),0.99,2.57E+10,1.27E+10,2.68E+10,0.12%,0.01%,0.01%,0.50,2.11,TRUE,0.11%,0.00%,0.606,0.594,0.584
BatchMatmul(L=1 M=1 N=512 K=106 layout='NN'),1.00,1.11E+10,3.30E+09,1.17E+10,0.05%,0.00%,0.00%,0.30,3.53,FALSE,0.05%,0.00%,0.606,0.594,0.583
BatchMatmul(L=64 M=1 N=512 K=106 layout='NN'),1.00,2.22E+11,4.29E+11,7.32E+11,1.05%,0.34%,0.23%,1.93,1.71,TRUE,0.71%,0.11%,0.606,0.594,0.583
Matmul(M=1 N=1000 K=1024 layout='NT'),1.00,2.05E+11,1.04E+11,2.02E+11,0.97%,0.08%,0.06%,0.51,1.94,TRUE,0.88%,0.02%,0.606,0.593,0.582
Matmul(M=1024 N=1 K=256 layout='NT'),1.00,4.94E+10,3.23E+10,5.22E+10,0.23%,0.03%,0.02%,0.65,1.61,TRUE,0.21%,0.01%,0.605,0.593,0.582
Matmul(M=6784 N=1 K=128 layout='NT'),1.00,1.72E+11,1.06E+11,1.79E+11,0.81%,0.09%,0.06%,0.62,1.68,TRUE,0.73%,0.03%,0.605,0.592,0.581
Matmul(M=2 N=7 K=2 layout='NT'),1.56,5.37E+06,3.39E+06,5.15E+06,0.00%,0.00%,0.00%,0.63,1.52,TRUE,0.00%,0.00%,0.605,0.592,0.581
Matmul(M=2 N=8 K=4 layout='NT'),1.60,1.23E+07,6.16E+06,9.38E+06,0.00%,0.00%,0.00%,0.50,1.52,TRUE,0.00%,0.00%,0.605,0.591,0.580
Matmul(M=2 N=8 K=54 layout='NT'),1.60,1.64E+08,8.31E+07,1.24E+08,0.00%,0.00%,0.00%,0.51,1.49,TRUE,0.00%,0.00%,0.604,0.591,0.580
Matmul(M=2 N=54 K=2 layout='NT'),1.93,4.12E+07,2.61E+07,3.06E+07,0.00%,0.00%,0.00%,0.63,1.17,TRUE,0.00%,0.00%,0.604,0.590,0.580
Matmul(M=5000 N=2 K=20 layout='NN'),2.00,2.84E+10,2.34E+10,3.91E+10,0.13%,0.02%,0.01%,0.83,1.67,TRUE,0.12%,0.01%,0.604,0.590,0.579
Conv2D(B=1 C=256 K=3 H=12 W=20 P=12 Q=20 R=1 S=1 stride=1),2.96,9.70E+09,5.84E+09,9.05E+09,0.05%,0.00%,0.00%,0.60,1.55,TRUE,0.04%,0.00%,0.604,0.589,0.579
Conv2D(B=2 C=256 K=3 H=12 W=20 P=12 Q=20 R=1 S=1 stride=1),2.98,1.95E+10,1.06E+10,1.78E+10,0.09%,0.01%,0.01%,0.54,1.68,TRUE,0.08%,0.00%,0.604,0.589,0.578
